hour	dow	count
0	1	3
0	2	2
0	3	2
0	4	2
0	5	1
0	6	2
0	7	4
1	1	1
1	2	3
1	3	2
1	4	1
1	5	3
1	6	2
1	7	3
2	1	0
2	2	7
2	3	2
2	4	1
2	5	3
2	6	1
2	7	3
3	1	3
3	2	2
3	3	0
3	4	1
3	5	2
3	6	0
3	7	3
4	1	2
4	2	0
4	3	1
4	4	1
4	5	1
4	6	0
4	7	2
5	1	1
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	1
6	1	1
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
7	1	0
7	2	1
7	3	0
7	4	0
7	5	0
7	6	2
7	7	1
8	1	2
8	2	0
8	3	1
8	4	3
8	5	0
8	6	7
8	7	1
9	1	0
9	2	1
9	3	1
9	4	3
9	5	0
9	6	2
9	7	0
10	1	0
10	2	1
10	3	2
10	4	2
10	5	3
10	6	1
10	7	0
11	1	0
11	2	1
11	3	0
11	4	1
11	5	1
11	6	0
11	7	0
12	1	0
12	2	0
12	3	1
12	4	2
12	5	0
12	6	2
12	7	0
13	1	0
13	2	2
13	3	0
13	4	0
13	5	0
13	6	1
13	7	1
14	1	0
14	2	0
14	3	1
14	4	0
14	5	3
14	6	1
14	7	1
15	1	1
15	2	4
15	3	0
15	4	0
15	5	1
15	6	3
15	7	0
16	1	0
16	2	3
16	3	0
16	4	0
16	5	1
16	6	0
16	7	2
17	1	0
17	2	3
17	3	3
17	4	0
17	5	0
17	6	0
17	7	1
18	1	1
18	2	0
18	3	1
18	4	3
18	5	1
18	6	1
18	7	1
19	1	3
19	2	1
19	3	0
19	4	2
19	5	1
19	6	1
19	7	4
20	1	1
20	2	1
20	3	3
20	4	0
20	5	0
20	6	1
20	7	1
21	1	0
21	2	5
21	3	5
21	4	2
21	5	2
21	6	3
21	7	5
22	1	1
22	2	5
22	3	4
22	4	7
22	5	5
22	6	1
22	7	2
23	1	2
23	2	5
23	3	4
23	4	6
23	5	2
23	6	3
23	7	0